date,city,latitude,longitude,population,precipitation_sum,windspeed_10m_max,temperature_2m_max,temperature_2m_min
2017-02-13,New York,40.71,-74.01,20140470,0.0,16.2,5.2,-2.9
2017-02-14,New York,40.71,-74.01,20140470,0.0,24.8,8.0,-0.8
2017-02-15,New York,40.71,-74.01,20140470,0.0,42.0,5.7,-4.0
2017-02-16,New York,40.71,-74.01,20140470,3.6,34.7,10.4,2.2
2017-02-17,New York,40.71,-74.01,20140470,0.0,26.0,10.1,1.9
2017-02-18,New York,40.71,-74.01,20140470,0.0,32.4,9.6,0.5
2017-02-19,New York,40.71,-74.01,20140470,6.7,34.1,6.3,-3.1
2017-02-20,New York,40.71,-74.01,20140470,0.0,31.6,13.6,5.8
2017-02-21,New York,40.71,-74.01,20140470,0.0,25.4,7.8,-2.0
2017-02-22,New York,40.71,-74.01,20140470,1.0,34.9,7.3,-1.7
2017-02-23,New York,40.71,-74.01,20140470,0.0,44.0,13.4,3.7
2017-02-24,New York,40.71,-74.01,20140470,0.0,35.3,6.9,-1.5
2017-02-25,New York,40.71,-74.01,20140470,1.8,17.4,8.4,0.4
2017-02-26,New York,40.71,-74.01,20140470,0.0,20.7,11.5,2.0
2017-02-27,New York,40.71,-74.01,20140470,0.0,45.3,10.4,-0.1
2017-02-28,New York,40.71,-74.01,20140470,0.0,15.2,14.1,6.1
2017-03-01,New York,40.71,-74.01,20140470,0.0,7.4,12.9,4.5
2017-03-02,New York,40.71,-74.01,20140470,4.2,46.9,8.1,-0.7
2017-03-03,New York,40.71,-74.01,20140470,0.0,18.9,11.7,3.6
2017-03-04,New York,40.71,-74.01,20140470,0.0,23.5,13.1,3.7
2017-03-05,New York,40.71,-74.01,20140470,0.0,7.9,14.4,6.2
2017-03-06,New York,40.71,-74.01,20140470,0.0,41.3,13.8,4.4
2017-03-07,New York,40.71,-74.01,20140470,0.4,28.6,13.0,3.3
2017-03-08,New York,40.71,-74.01,20140470,13.1,25.4,12.5,3.7
2017-03-09,New York,40.71,-74.01,20140470,0.0,30.2,13.9,5.4
2017-03-10,New York,40.71,-74.01,20140470,0.0,20.2,11.1,2.5
2017-03-11,New York,40.71,-74.01,20140470,0.0,38.8,10.7,1.0
2017-03-12,New York,40.71,-74.01,20140470,2.6,38.7,10.7,0.9
2017-03-13,New York,40.71,-74.01,20140470,4.5,27.5,11.7,2.6
2017-03-14,New York,40.71,-74.01,20140470,0.0,25.8,15.3,7.0
2017-03-15,New York,40.71,-74.01,20140470,10.5,14.7,18.6,9.5
2017-03-16,New York,40.71,-74.01,20140470,0.0,27.7,13.2,2.3
2017-03-17,New York,40.71,-74.01,20140470,0.0,35.4,13.8,3.9
2017-03-18,New York,40.71,-74.01,20140470,4.9,23.9,14.1,2.4
2017-03-19,New York,40.71,-74.01,20140470,10.0,20.7,17.8,8.9
2017-03-20,New York,40.71,-74.01,20140470,0.0,34.9,19.8,10.4
2017-03-21,New York,40.71,-74.01,20140470,2.0,25.9,15.9,6.9
2017-03-22,New York,40.71,-74.01,20140470,0.0,31.3,20.5,9.6
2017-03-23,New York,40.71,-74.01,20140470,0.0,31.1,19.4,10.5
2017-03-24,New York,40.71,-74.01,20140470,0.0,12.8,13.4,1.0
2017-03-25,New York,40.71,-74.01,20140470,3.6,15.3,19.8,10.3
2017-03-26,New York,40.71,-74.01,20140470,0.0,13.2,21.2,12.0
2017-03-27,New York,40.71,-74.01,20140470,0.0,35.1,21.3,11.3
2017-03-28,New York,40.71,-74.01,20140470,0.0,14.6,13.9,1.9
2017-03-29,New York,40.71,-74.01,20140470,0.0,40.2,20.6,9.3
2017-03-30,New York,40.71,-74.01,20140470,0.0,38.1,18.1,8.7
2017-03-31,New York,40.71,-74.01,20140470,0.0,19.8,17.4,8.3
2017-04-01,New York,40.71,-74.01,20140470,0.0,20.2,20.0,10.8
2017-04-02,New York,40.71,-74.01,20140470,0.0,28.9,19.1,8.8
2017-04-03,New York,40.71,-74.01,20140470,0.0,35.9,23.1,10.9
2017-04-04,New York,40.71,-74.01,20140470,0.0,3.0,19.4,9.2
2017-04-05,New York,40.71,-74.01,20140470,0.0,15.5,23.3,13.1
2017-04-06,New York,40.71,-74.01,20140470,0.0,20.2,23.7,14.7
2017-04-07,New York,40.71,-74.01,20140470,0.0,61.8,18.4,8.7
2017-04-08,New York,40.71,-74.01,20140470,0.0,10.9,24.0,15.0
2017-04-09,New York,40.71,-74.01,20140470,0.0,26.0,22.3,11.3
2017-04-10,New York,40.71,-74.01,20140470,0.0,41.7,18.1,5.9
2017-04-11,New York,40.71,-74.01,20140470,2.1,14.5,18.7,7.0
2017-04-12,New York,40.71,-74.01,20140470,2.8,42.9,23.9,13.9
2017-04-13,New York,40.71,-74.01,20140470,0.0,13.0,26.9,15.6
2017-04-14,New York,40.71,-74.01,20140470,0.0,23.1,23.6,13.7
2017-04-15,New York,40.71,-74.01,20140470,0.0,30.8,25.7,14.7
2017-04-16,New York,40.71,-74.01,20140470,0.0,36.6,20.9,9.6
2017-04-17,New York,40.71,-74.01,20140470,9.2,38.8,25.1,14.3
2017-04-18,New York,40.71,-74.01,20140470,0.0,38.6,21.4,10.1
2017-04-19,New York,40.71,-74.01,20140470,9.7,28.9,25.3,16.0
2017-04-20,New York,40.71,-74.01,20140470,0.0,30.4,16.6,6.1
2017-04-21,New York,40.71,-74.01,20140470,0.0,36.5,25.4,15.6
2017-04-22,New York,40.71,-74.01,20140470,0.0,43.6,28.8,19.0
2017-04-23,New York,40.71,-74.01,20140470,0.0,33.9,23.2,12.4
2017-04-24,New York,40.71,-74.01,20140470,0.0,30.1,20.4,9.0
2017-04-25,New York,40.71,-74.01,20140470,0.0,25.8,23.6,13.7
2017-04-26,New York,40.71,-74.01,20140470,11.4,16.3,26.6,15.1
2017-04-27,New York,40.71,-74.01,20140470,0.0,16.9,27.6,16.4
2017-04-28,New York,40.71,-74.01,20140470,6.3,43.9,22.9,10.6
2017-04-29,New York,40.71,-74.01,20140470,15.4,22.3,23.6,12.4
2017-04-30,New York,40.71,-74.01,20140470,0.0,9.0,21.5,11.7
2017-05-01,New York,40.71,-74.01,20140470,0.0,37.7,22.9,13.1
2017-05-02,New York,40.71,-74.01,20140470,0.0,41.3,21.8,10.9
2017-05-03,New York,40.71,-74.01,20140470,1.9,35.5,27.7,15.8
2017-05-04,New York,40.71,-74.01,20140470,0.0,35.8,27.2,17.1
2017-05-05,New York,40.71,-74.01,20140470,0.0,4.6,30.6,20.8
2017-05-06,New York,40.71,-74.01,20140470,0.0,20.4,28.7,17.6
2017-05-07,New York,40.71,-74.01,20140470,4.2,51.1,25.5,13.3
2017-05-08,New York,40.71,-74.01,20140470,0.0,33.6,28.8,18.5
2017-05-09,New York,40.71,-74.01,20140470,7.3,33.9,25.7,14.6
2017-05-10,New York,40.71,-74.01,20140470,4.1,33.6,25.4,13.8
2017-05-11,New York,40.71,-74.01,20140470,0.0,22.5,23.8,13.2
2017-05-12,New York,40.71,-74.01,20140470,0.0,28.7,28.6,17.5
2017-05-13,New York,40.71,-74.01,20140470,0.0,27.0,26.2,16.6
2017-05-14,New York,40.71,-74.01,20140470,0.0,28.2,28.0,17.8
2017-05-15,New York,40.71,-74.01,20140470,0.0,42.1,27.8,16.8
2017-05-16,New York,40.71,-74.01,20140470,0.0,8.0,29.1,19.0
2017-05-17,New York,40.71,-74.01,20140470,0.0,35.4,22.6,12.0
2017-05-18,New York,40.71,-74.01,20140470,4.2,23.7,29.7,18.5
2017-05-19,New York,40.71,-74.01,20140470,0.0,45.4,24.5,13.8
2017-05-20,New York,40.71,-74.01,20140470,0.6,16.2,31.1,19.8
2017-05-21,New York,40.71,-74.01,20140470,0.7,21.1,27.1,11.8
2017-05-22,New York,40.71,-74.01,20140470,0.0,29.6,29.6,17.6
2017-05-23,New York,40.71,-74.01,20140470,0.0,27.6,30.3,17.7
2017-05-24,New York,40.71,-74.01,20140470,4.3,28.2,30.9,20.8
2017-05-25,New York,40.71,-74.01,20140470,0.0,16.7,30.8,19.0
2017-05-26,New York,40.71,-74.01,20140470,0.0,39.5,27.6,17.5
2017-05-27,New York,40.71,-74.01,20140470,0.0,17.8,27.1,16.1
2017-05-28,New York,40.71,-74.01,20140470,0.0,23.1,28.9,18.6
2017-05-29,New York,40.71,-74.01,20140470,0.0,28.9,30.2,18.3
2017-05-30,New York,40.71,-74.01,20140470,0.0,26.8,26.6,16.4
2017-05-31,New York,40.71,-74.01,20140470,0.0,25.9,30.3,16.3
2017-06-01,New York,40.71,-74.01,20140470,1.7,22.5,32.1,21.8
2017-06-02,New York,40.71,-74.01,20140470,0.0,4.7,25.7,13.1
2017-06-03,New York,40.71,-74.01,20140470,0.0,40.9,24.3,14.0
2017-06-04,New York,40.71,-74.01,20140470,0.3,26.9,25.8,15.8
2017-06-05,New York,40.71,-74.01,20140470,10.2,30.9,32.1,21.4
2017-06-06,New York,40.71,-74.01,20140470,3.0,27.5,30.6,19.7
2017-06-07,New York,40.71,-74.01,20140470,0.0,32.9,34.2,23.7
2017-06-08,New York,40.71,-74.01,20140470,0.0,36.5,27.1,15.7
2017-06-09,New York,40.71,-74.01,20140470,0.0,37.8,35.8,24.4
2017-06-10,New York,40.71,-74.01,20140470,0.0,45.5,32.2,19.2
2017-06-11,New York,40.71,-74.01,20140470,2.3,15.4,31.8,21.6
2017-06-12,New York,40.71,-74.01,20140470,0.0,24.7,32.9,20.6
2017-06-13,New York,40.71,-74.01,20140470,0.0,13.8,28.7,18.4
2017-06-14,New York,40.71,-74.01,20140470,0.0,28.9,31.8,21.2
2017-06-15,New York,40.71,-74.01,20140470,0.0,29.3,37.0,24.9
2017-06-16,New York,40.71,-74.01,20140470,1.5,39.1,29.0,17.2
2017-06-17,New York,40.71,-74.01,20140470,0.0,26.2,29.3,18.8
2017-06-18,New York,40.71,-74.01,20140470,0.0,25.6,28.3,18.0
2017-06-19,New York,40.71,-74.01,20140470,0.0,14.0,30.1,18.7
2017-06-20,New York,40.71,-74.01,20140470,0.0,30.9,29.0,18.9
2017-06-21,New York,40.71,-74.01,20140470,0.0,5.8,30.0,19.9
2017-06-22,New York,40.71,-74.01,20140470,0.0,17.9,28.5,18.3
2017-06-23,New York,40.71,-74.01,20140470,3.8,23.0,33.9,22.6
2017-06-24,New York,40.71,-74.01,20140470,0.0,14.1,30.8,19.2
2017-06-25,New York,40.71,-74.01,20140470,0.0,27.3,30.4,19.2
2017-06-26,New York,40.71,-74.01,20140470,18.4,36.5,27.5,15.2
2017-06-27,New York,40.71,-74.01,20140470,0.0,22.8,33.0,21.6
2017-06-28,New York,40.71,-74.01,20140470,7.7,20.2,27.9,16.8
2017-06-29,New York,40.71,-74.01,20140470,2.6,14.5,32.2,21.3
2017-06-30,New York,40.71,-74.01,20140470,0.0,24.4,33.4,21.8
2017-07-01,New York,40.71,-74.01,20140470,0.0,19.2,27.0,15.1
2017-07-02,New York,40.71,-74.01,20140470,0.0,40.5,31.3,20.8
2017-07-03,New York,40.71,-74.01,20140470,4.6,8.9,31.3,19.6
2017-07-04,New York,40.71,-74.01,20140470,0.0,23.0,25.5,14.2
2017-07-05,New York,40.71,-74.01,20140470,0.0,38.2,27.4,15.3
2017-07-06,New York,40.71,-74.01,20140470,0.0,13.7,33.6,23.3
2017-07-07,New York,40.71,-74.01,20140470,0.0,44.3,29.0,17.0
2017-07-08,New York,40.71,-74.01,20140470,0.0,52.0,33.6,21.9
2017-07-09,New York,40.71,-74.01,20140470,0.0,26.2,28.5,17.7
2017-07-10,New York,40.71,-74.01,20140470,0.0,32.5,27.4,17.1
2017-07-11,New York,40.71,-74.01,20140470,7.0,50.7,30.1,19.5
2017-07-12,New York,40.71,-74.01,20140470,0.0,27.1,29.7,19.3
2017-07-13,New York,40.71,-74.01,20140470,15.9,46.8,29.3,19.3
2017-07-14,New York,40.71,-74.01,20140470,0.0,43.6,29.3,19.0
2017-07-15,New York,40.71,-74.01,20140470,0.8,20.5,28.7,17.9
2017-07-16,New York,40.71,-74.01,20140470,1.1,15.8,27.6,17.4
2017-07-17,New York,40.71,-74.01,20140470,0.0,33.7,24.8,13.8
2017-07-18,New York,40.71,-74.01,20140470,0.0,51.8,33.8,21.4
2017-07-19,New York,40.71,-74.01,20140470,0.0,23.7,25.8,15.7
2017-07-20,New York,40.71,-74.01,20140470,0.0,43.5,26.6,15.5
2017-07-21,New York,40.71,-74.01,20140470,1.5,39.5,30.5,20.0
2017-07-22,New York,40.71,-74.01,20140470,0.0,46.9,19.9,9.4
2017-07-23,New York,40.71,-74.01,20140470,0.0,13.5,31.0,19.0
2017-07-24,New York,40.71,-74.01,20140470,0.0,29.1,24.9,14.0
2017-07-25,New York,40.71,-74.01,20140470,0.0,21.8,28.4,16.1
2017-07-26,New York,40.71,-74.01,20140470,0.0,9.3,30.2,18.6
2017-07-27,New York,40.71,-74.01,20140470,0.0,23.0,26.4,15.9
2017-07-28,New York,40.71,-74.01,20140470,0.0,28.1,30.4,18.1
2017-07-29,New York,40.71,-74.01,20140470,7.9,21.9,28.7,16.5
2017-07-30,New York,40.71,-74.01,20140470,0.0,28.6,24.9,12.5
2017-07-31,New York,40.71,-74.01,20140470,0.0,38.1,28.6,18.8
2017-08-01,New York,40.71,-74.01,20140470,0.0,31.7,25.4,15.2
2017-08-02,New York,40.71,-74.01,20140470,0.0,42.7,32.1,22.4
2017-08-03,New York,40.71,-74.01,20140470,0.0,50.9,26.6,16.6
2017-08-04,New York,40.71,-74.01,20140470,3.4,15.5,26.8,17.1
2017-08-05,New York,40.71,-74.01,20140470,0.0,25.7,21.4,11.3
2017-08-06,New York,40.71,-74.01,20140470,3.7,23.3,30.8,17.5
2017-08-07,New York,40.71,-74.01,20140470,0.0,40.3,25.6,15.8
2017-08-08,New York,40.71,-74.01,20140470,0.0,27.2,27.3,17.6
2017-08-09,New York,40.71,-74.01,20140470,0.0,31.3,27.6,15.9
2017-08-10,New York,40.71,-74.01,20140470,0.0,17.9,22.0,12.2
2017-08-11,New York,40.71,-74.01,20140470,0.0,37.4,23.9,11.7
2017-08-12,New York,40.71,-74.01,20140470,0.0,25.9,31.8,21.0
2017-08-13,New York,40.71,-74.01,20140470,0.6,25.9,24.1,13.5
2017-08-14,New York,40.71,-74.01,20140470,0.0,31.0,27.6,17.4
2017-08-15,New York,40.71,-74.01,20140470,0.0,31.3,18.1,7.5
2017-08-16,New York,40.71,-74.01,20140470,0.0,22.6,22.3,12.6
2017-08-17,New York,40.71,-74.01,20140470,11.8,15.6,19.9,7.8
2017-08-18,New York,40.71,-74.01,20140470,0.0,19.9,22.9,11.5
2017-08-19,New York,40.71,-74.01,20140470,0.1,39.8,14.3,2.7
2017-08-20,New York,40.71,-74.01,20140470,0.0,34.5,21.6,12.3
2017-08-21,New York,40.71,-74.01,20140470,0.0,27.9,26.7,15.7
2017-08-22,New York,40.71,-74.01,20140470,0.0,26.3,22.1,12.8
2017-08-23,New York,40.71,-74.01,20140470,11.9,4.2,27.0,17.5
2017-08-24,New York,40.71,-74.01,20140470,0.5,33.7,22.9,13.2
2017-08-25,New York,40.71,-74.01,20140470,0.0,34.1,22.1,12.6
2017-08-26,New York,40.71,-74.01,20140470,0.0,32.6,23.1,13.8
2017-08-27,New York,40.71,-74.01,20140470,1.2,28.8,26.9,14.6
2017-08-28,New York,40.71,-74.01,20140470,0.0,31.4,21.0,11.4
2017-08-29,New York,40.71,-74.01,20140470,0.0,34.8,21.0,11.9
2017-08-30,New York,40.71,-74.01,20140470,0.0,22.4,21.3,11.7
2017-08-31,New York,40.71,-74.01,20140470,0.0,46.0,20.3,11.3
2017-09-01,New York,40.71,-74.01,20140470,1.3,27.8,21.0,12.0
2017-09-02,New York,40.71,-74.01,20140470,8.6,3.0,17.5,8.2
2017-09-03,New York,40.71,-74.01,20140470,0.0,33.4,22.7,11.4
2017-09-04,New York,40.71,-74.01,20140470,0.0,32.9,21.0,9.3
2017-09-05,New York,40.71,-74.01,20140470,0.0,34.3,21.3,12.4
2017-09-06,New York,40.71,-74.01,20140470,0.0,8.4,16.5,7.2
2017-09-07,New York,40.71,-74.01,20140470,2.9,26.5,18.7,9.0
2017-09-08,New York,40.71,-74.01,20140470,0.0,58.8,18.1,7.5
2017-09-09,New York,40.71,-74.01,20140470,1.2,50.1,12.3,3.3
2017-09-10,New York,40.71,-74.01,20140470,0.0,20.1,19.5,9.6
2017-09-11,New York,40.71,-74.01,20140470,0.0,44.3,22.3,11.8
2017-09-12,New York,40.71,-74.01,20140470,32.3,12.7,21.2,11.9
2017-09-13,New York,40.71,-74.01,20140470,0.0,18.5,18.4,7.1
2017-09-14,New York,40.71,-74.01,20140470,0.0,3.0,23.9,14.6
2017-09-15,New York,40.71,-74.01,20140470,0.0,26.0,18.2,8.4
2017-09-16,New York,40.71,-74.01,20140470,4.5,30.8,16.2,7.0
2017-09-17,New York,40.71,-74.01,20140470,0.0,33.5,13.5,4.6
2017-09-18,New York,40.71,-74.01,20140470,0.0,32.9,20.8,10.8
2017-09-19,New York,40.71,-74.01,20140470,8.9,15.4,12.7,2.8
2017-09-20,New York,40.71,-74.01,20140470,0.0,41.4,17.6,8.4
2017-09-21,New York,40.71,-74.01,20140470,0.0,19.0,13.8,2.9
2017-09-22,New York,40.71,-74.01,20140470,0.0,35.1,14.8,3.8
2017-09-23,New York,40.71,-74.01,20140470,5.4,31.1,16.1,6.9
2017-09-24,New York,40.71,-74.01,20140470,0.0,39.1,15.7,7.0
2017-09-25,New York,40.71,-74.01,20140470,0.0,35.9,13.9,2.4
2017-09-26,New York,40.71,-74.01,20140470,0.0,12.3,17.6,8.4
2017-09-27,New York,40.71,-74.01,20140470,0.0,37.1,13.0,3.9
2017-09-28,New York,40.71,-74.01,20140470,0.0,30.1,15.2,5.1
2017-09-29,New York,40.71,-74.01,20140470,0.0,33.9,17.2,8.4
2017-09-30,New York,40.71,-74.01,20140470,4.0,32.3,19.5,7.9
2017-10-01,New York,40.71,-74.01,20140470,0.0,19.5,9.4,0.7
2017-10-02,New York,40.71,-74.01,20140470,0.0,15.1,10.9,2.7
2017-10-03,New York,40.71,-74.01,20140470,0.0,32.6,16.1,6.2
2017-10-04,New York,40.71,-74.01,20140470,0.0,8.9,15.3,6.0
2017-10-05,New York,40.71,-74.01,20140470,0.0,39.8,13.9,4.7
2017-10-06,New York,40.71,-74.01,20140470,0.0,17.2,12.9,4.2
2017-10-07,New York,40.71,-74.01,20140470,0.0,21.2,14.8,6.0
2017-10-08,New York,40.71,-74.01,20140470,7.1,36.8,9.8,1.1
2017-10-09,New York,40.71,-74.01,20140470,6.5,16.0,10.6,2.1
2017-10-10,New York,40.71,-74.01,20140470,4.3,3.2,9.7,1.3
2017-10-11,New York,40.71,-74.01,20140470,0.0,26.8,7.6,-0.5
2017-10-12,New York,40.71,-74.01,20140470,0.1,42.9,9.9,0.4
2017-10-13,New York,40.71,-74.01,20140470,0.0,14.7,14.7,6.2
2017-10-14,New York,40.71,-74.01,20140470,0.0,35.0,9.4,-1.1
2017-10-15,New York,40.71,-74.01,20140470,0.0,10.7,5.0,-2.9
2017-10-16,New York,40.71,-74.01,20140470,0.0,24.1,8.0,-1.5
2017-10-17,New York,40.71,-74.01,20140470,0.0,32.6,13.5,3.7
2017-10-18,New York,40.71,-74.01,20140470,2.1,25.3,11.1,2.4
2017-10-19,New York,40.71,-74.01,20140470,0.0,21.3,11.0,0.8
2017-10-20,New York,40.71,-74.01,20140470,0.0,27.4,15.9,8.0
2017-10-21,New York,40.71,-74.01,20140470,0.0,4.0,8.9,0.8
2017-10-22,New York,40.71,-74.01,20140470,0.0,46.2,15.3,6.4
2017-10-23,New York,40.71,-74.01,20140470,13.5,25.6,10.9,1.6
2017-10-24,New York,40.71,-74.01,20140470,1.3,27.6,11.8,0.9
2017-10-25,New York,40.71,-74.01,20140470,0.0,25.8,9.7,1.5
2017-10-26,New York,40.71,-74.01,20140470,1.1,42.8,10.9,3.1
2017-10-27,New York,40.71,-74.01,20140470,0.0,21.4,8.6,0.4
2017-10-28,New York,40.71,-74.01,20140470,0.0,16.8,7.1,-3.6
2017-10-29,New York,40.71,-74.01,20140470,0.0,37.0,12.8,4.4
2017-10-30,New York,40.71,-74.01,20140470,0.0,25.6,10.3,2.0
2017-10-31,New York,40.71,-74.01,20140470,7.3,12.9,6.5,-2.4
2017-11-01,New York,40.71,-74.01,20140470,0.0,17.4,8.2,0.1
2017-11-02,New York,40.71,-74.01,20140470,16.9,37.6,10.5,0.1
2017-11-03,New York,40.71,-74.01,20140470,0.0,35.0,8.5,0.2
2017-11-04,New York,40.71,-74.01,20140470,0.0,14.7,12.0,2.0
2017-11-05,New York,40.71,-74.01,20140470,0.4,24.0,6.5,-3.4
2017-11-06,New York,40.71,-74.01,20140470,3.2,19.5,5.6,-4.6
2017-11-07,New York,40.71,-74.01,20140470,2.0,37.4,-0.7,-10.0
2017-11-08,New York,40.71,-74.01,20140470,1.7,17.0,5.6,-6.0
2017-11-09,New York,40.71,-74.01,20140470,0.0,35.7,9.0,0.1
2017-11-10,New York,40.71,-74.01,20140470,0.0,20.4,10.6,1.5
2017-11-11,New York,40.71,-74.01,20140470,0.0,24.7,14.5,6.4
2017-11-12,New York,40.71,-74.01,20140470,0.0,29.5,2.1,-7.4
2017-11-13,New York,40.71,-74.01,20140470,10.2,29.2,4.5,-3.4
2017-11-14,New York,40.71,-74.01,20140470,0.0,21.8,2.3,-8.2
2017-11-15,New York,40.71,-74.01,20140470,0.0,39.9,6.4,-2.2
2017-11-16,New York,40.71,-74.01,20140470,0.0,31.7,4.4,-5.2
2017-11-17,New York,40.71,-74.01,20140470,0.0,9.8,7.9,0.3
2017-11-18,New York,40.71,-74.01,20140470,0.2,31.2,8.7,-1.6
2017-11-19,New York,40.71,-74.01,20140470,0.0,22.1,1.9,-5.8
2017-11-20,New York,40.71,-74.01,20140470,0.0,38.1,7.1,-0.4
2017-11-21,New York,40.71,-74.01,20140470,4.1,39.6,7.0,-0.3
2017-11-22,New York,40.71,-74.01,20140470,0.0,27.8,8.7,1.0
2017-11-23,New York,40.71,-74.01,20140470,0.0,48.4,1.3,-9.1
2017-11-24,New York,40.71,-74.01,20140470,0.0,33.2,0.1,-7.2
2017-11-25,New York,40.71,-74.01,20140470,0.0,27.3,0.9,-6.8
2017-11-26,New York,40.71,-74.01,20140470,7.2,35.5,7.8,-0.2
2017-11-27,New York,40.71,-74.01,20140470,8.8,24.1,10.1,1.0
2017-11-28,New York,40.71,-74.01,20140470,0.0,22.2,-1.6,-9.9
2017-11-29,New York,40.71,-74.01,20140470,0.0,16.4,7.5,0.1
2017-11-30,New York,40.71,-74.01,20140470,24.2,34.6,1.3,-7.8
2017-12-01,New York,40.71,-74.01,20140470,0.0,28.4,-2.0,-9.8
2017-12-02,New York,40.71,-74.01,20140470,0.0,37.4,-1.4,-9.2
2017-12-03,New York,40.71,-74.01,20140470,0.0,23.2,4.6,-3.4
2017-12-04,New York,40.71,-74.01,20140470,5.7,31.7,5.1,-3.0
2017-12-05,New York,40.71,-74.01,20140470,5.3,26.5,3.8,-4.5
2017-12-06,New York,40.71,-74.01,20140470,1.7,50.0,6.8,-3.2
2017-12-07,New York,40.71,-74.01,20140470,9.5,20.9,1.4,-6.2
2017-12-08,New York,40.71,-74.01,20140470,3.7,30.2,5.3,-2.0
2017-12-09,New York,40.71,-74.01,20140470,2.6,31.6,4.9,-2.6
2017-12-10,New York,40.71,-74.01,20140470,0.0,38.8,2.0,-7.6
2017-12-11,New York,40.71,-74.01,20140470,8.3,28.4,0.7,-9.6
2017-12-12,New York,40.71,-74.01,20140470,0.0,32.1,8.7,0.7
2017-12-13,New York,40.71,-74.01,20140470,2.4,41.0,2.1,-6.6
2017-12-14,New York,40.71,-74.01,20140470,0.0,27.2,5.3,-2.0
2017-12-15,New York,40.71,-74.01,20140470,1.9,18.2,0.1,-7.5
2017-12-16,New York,40.71,-74.01,20140470,0.0,46.6,8.3,0.6
2017-12-17,New York,40.71,-74.01,20140470,0.0,33.3,5.1,-3.8
2017-12-18,New York,40.71,-74.01,20140470,10.7,46.2,5.9,-1.3
2017-12-19,New York,40.71,-74.01,20140470,0.0,36.9,1.4,-5.7
2017-12-20,New York,40.71,-74.01,20140470,11.1,12.0,5.1,-4.0
